instance_encoder_num_hidden_layers,instance_decoder_num_hidden_layers,configuration_encoder_num_hidden_layers,activation,num_hidden_units,epoch,feature_loss,loss,parameter_loss,performance_loss,val_feature_loss,val_loss,val_parameter_loss,val_performance_loss
0,3,3,leaky_relu,32,2,0.3674505650997162,0.9146686792373657,0.9996615052223206,0.05472894012928009,0.3526877760887146,0.9225847721099854,1.0001823902130127,0.05697488784790039
0,3,3,leaky_relu,32,3,0.3341994285583496,0.8767338991165161,0.9995505213737488,0.054261427372694016,0.33395975828170776,0.9039173126220703,0.9999479651451111,0.05698647350072861
0,3,3,leaky_relu,32,4,0.3185007572174072,0.8598461747169495,0.9993053674697876,0.054142486304044724,0.3221471309661865,0.8910399079322815,0.9997416734695435,0.056886300444602966
0,3,3,leaky_relu,32,5,0.30697575211524963,0.8472423553466797,0.9991441965103149,0.05403377115726471,0.31254875659942627,0.8809917569160461,0.9996812343597412,0.05684489384293556
0,3,3,leaky_relu,32,6,0.2972487807273865,0.8368148803710938,0.9990089535713196,0.05396454036235809,0.30428871512413025,0.8726750016212463,0.9995595216751099,0.056845150887966156
0,3,3,leaky_relu,32,7,0.2886824309825897,0.8278331756591797,0.9989468455314636,0.05392175167798996,0.29712119698524475,0.8654341101646423,0.9996381998062134,0.05684101581573486
0,3,3,leaky_relu,32,8,0.2815580666065216,0.8205508589744568,0.9989434480667114,0.05390617251396179,0.2914348542690277,0.8595995306968689,0.9995982646942139,0.05682988464832306
0,3,3,leaky_relu,32,9,0.2748163044452667,0.8136281967163086,0.9989615678787231,0.05388820916414261,0.28520557284355164,0.8530097603797913,0.9997926950454712,0.056789882481098175
0,3,3,leaky_relu,32,10,0.2687816619873047,0.8075199723243713,0.9989410042762756,0.05388083681464195,0.2804243862628937,0.8481999039649963,0.9998165965080261,0.05678930878639221
0,3,2,leaky_relu,32,1,0.49644264578819275,1.3429744243621826,1.0059529542922974,0.0846354067325592,0.405167818069458,0.9885132312774658,1.0104366540908813,0.05828751251101494
0,3,2,leaky_relu,32,2,0.369059681892395,0.9173396229743958,1.009437918663025,0.0548374205827713,0.35608160495758057,0.9292488098144531,1.0109045505523682,0.05729673057794571
0,3,2,leaky_relu,32,3,0.3367074728012085,0.8809131979942322,1.0092061758041382,0.054431550204753876,0.3357054889202118,0.9082618951797485,1.0109052658081055,0.05724303796887398
0,3,2,leaky_relu,32,4,0.321650892496109,0.8641939163208008,1.0089008808135986,0.054265134036540985,0.32314789295196533,0.894668459892273,1.0108305215835571,0.05714501440525055
